,County_x,State short,num_players,county_state,County ID,County Fips,County_y,Median Household Income,Population,year,state,income,y_pred,residual
120,SARASOTA,FL,1,"SARASOTA, FL",12,12115,SARASOTA,"$55,088",412569,2016,FL,55088.0,1.4148170916776275,-0.4148170916776275
121,SEMINOLE,FL,4,"SEMINOLE, FL",12,12117,SEMINOLE,"$61,253",455479,2016,FL,61253.0,1.5667820632833376,2.4332179367166624
122,SNOHOMISH,WA,1,"SNOHOMISH, WA",53,53061,SNOHOMISH,"$78,582",787620,2016,WA,78582.0,2.407072405189357,-1.407072405189357
123,SONOMA,CA,3,"SONOMA, CA",6,6097,SONOMA,"$73,496",503070,2016,CA,73496.0,1.7950843720027563,1.2049156279972437
124,STANISLAUS,CA,1,"STANISLAUS, CA",6,6099,STANISLAUS,"$54,060",541560,2016,CA,54060.0,1.6553869957814022,-0.6553869957814022
125,SUFFOLK,NY,2,"SUFFOLK, NY",36,36103,SUFFOLK,"$92,310",1492583,2016,NY,92310.0,3.935718215124577,-1.9357182151245769
126,SUMMIT,OH,1,"SUMMIT, OH",39,39153,SUMMIT,"$52,226",540300,2016,OH,52226.0,1.6326504424739638,-0.6326504424739638
127,TARRANT,TX,1,"TARRANT, TX",48,48439,TARRANT,"$61,553",2016872,2016,TX,61553.0,4.619686146215431,-3.6196861462154306
128,TRAVIS,TX,3,"TRAVIS, TX",48,48453,TRAVIS,"$70,068",1199323,2016,TX,70068.0,3.117051890351979,-0.11705189035197883
129,UTAH,UT,2,"UTAH, UT",49,49049,UTAH,"$69,568",592299,2016,UT,69568.0,1.9259336399560496,0.0740663600439504
130,VENTURA,CA,1,"VENTURA, CA",6,6111,VENTURA,"$79,470",849738,2016,CA,79470.0,2.5382135003227635,-1.5382135003227635
131,WAKE,NC,8,"WAKE, NC",37,37183,WAKE,"$76,173",1046791,2016,NC,76173.0,2.8866319129146576,5.113368087085343
132,WASHINGTON,TN,1,"WASHINGTON, TN",47,47179,WASHINGTON,"$46,316",127440,2016,TN,46316.0,0.7609479598686615,0.23905204013133852
133,WASHTENAW,MI,1,"WASHTENAW, MI",26,26161,WASHTENAW,"$66,040",364709,2016,MI,66040.0,1.4424196352739935,-0.44241963527399353
134,WAYNE,MI,2,"WAYNE, MI",26,26163,WAYNE,"$43,570",1749366,2016,MI,43570.0,3.8984054591226576,-1.8984054591226576
135,WEBER,UT,3,"WEBER, UT",49,49057,WEBER,"$62,768",247560,2016,UT,62768.0,1.1774403106830191,1.8225596893169809
136,WESTCHESTER,NY,3,"WESTCHESTER, NY",36,36119,WESTCHESTER,"$89,380",974542,2016,NY,89380.0,2.8915297698350324,0.1084702301649676
137,WILLIAMSON,TX,3,"WILLIAMSON, TX",48,48491,WILLIAMSON,"$82,370",528718,2016,TX,82370.0,1.9432836974495271,1.0567163025504729
138,WINDHAM,CT,1,"WINDHAM, CT",9,9015,WINDHAM,"$60,869",116192,2016,CT,60869.0,0.8998686551043165,0.10013134489568354
