,city,club,date,level,name,position,state
1553,Tampa,Bayern Munich,2015/11/11,U-23,Julian Green,Midfielder,Florida
1554,Chula Vista,Club Tijuana,2015/11/11,U-23,Alejandro Guido,Midfielder,California
1555,Milwaukee,Chicago Fire,2015/11/11,U-23,Matt Polster,Midfielder,Wisconsin
1556,Brighton,Colorado Rapids,2015/11/11,U-23,Dillon Serna,Midfielder,Colorado
1557,Bethesda,Rangers,2015/11/11,U-23,Gedion Zelalem,Midfielder,Maryland
1558,Berlin,VfB Stuttgart,2015/11/11,U-23,Jerome Kiesewetter,Forward,Germany
1559,Leander,New York City FC,2015/11/11,U-23,Khiry Shelton,Forward,Texas
1560,Washington,FC Sion,2015/11/11,U-23,Maki Tall,Forward,District of Columbia
1561,Cleveland,Leeds,2015/10/09,U-23,Charlie Horton,Goalkeeper,Ohio
1562,Highlands Ranch,Molde,2015/10/09,U-23,Ethan Horvath,Goalkeeper,Colorado
1563,Downington,Freiburg,2015/10/09,U-23,Zack Steffen,Goalkeeper,Pennsylvania
1564,Westcliff on Sea,Tottenham Hotspur,2015/10/09,U-23,Cameron Carter-Vickers,Defender,England
1565,Clifton,New York Red Bulls,2015/10/09,U-23,Matt Miazga,Defender,New Jersey
1566,Woodbury,Montreal Impact,2015/10/09,U-23,Eric Miller,Defender,Minnesota
1567,Concord,Unattached,2015/10/09,U-23,William Packwood,Defender,Massachusetts
1568,Brighton,Colorado Rapids,2015/10/09,U-23,Dillon Serna,Defender,Colorado
1569,Northville,San Jose Earthquakes,2015/10/09,U-23,Fatai Alashe,Midfielder,Michigan
1570,Arlington,Chesterfield,2015/10/09,U-23,Gboly Ariyibi,Midfielder,Virginia
1571,Garden Grove,Real Salt Lake,2015/10/09,U-23,Luis Gil,Midfielder,California
1572,Dallas,Fulham,2015/10/09,U-23,Emerson Hyndman,Midfielder,Texas
1573,Sunnyvale,San Jose Earthquakes,2015/10/09,U-23,Marc Pelosi,Midfielder,California
1574,Milwaukee,Chicago Fire,2015/10/09,U-23,Matt Polster,Midfielder,Wisconsin
1575,Gahanna,Columbus Crew SC,2015/10/09,U-23,Wil Trapp,Midfielder,Ohio
1576,Bethesda,Rangers,2015/10/09,U-23,Gedion Zelalem,Midfielder,Maryland
1577,El Paso,C.D. Juarez,2015/10/09,U-23,Alonso Hernandez,Forward,Texas
1578,Berlin,VfB Stuttgart,2015/10/09,U-23,Jerome Kiesewetter,Forward,Germany
1579,Mercer Island,Stanford,2015/10/09,U-23,Jordan Morris,Forward,Washington
1580,Washington,FC Sion,2015/10/09,U-23,Maki Tall,Forward,District of Columbia
